epoch,train_loss,train_pos_dist,train_neg_dist,val_loss,val_pos_dist,val_neg_dist,val_fpr95,lr,early_stop_best_fpr95,no_improve_epochs
1,0.5279892522990703,0.5790528845191002,1.0510636338591575,0.47865822158753873,0.5791336297988892,1.100590467453003,0.999316394329071,5.0,0.999316394329071,0
2,0.5039898523688316,0.551842378795147,1.047852522611618,0.4498836888372898,0.5596054196357727,1.1099154949188232,0.9697265625,10.0,0.9697265625,0
3,0.5147958337664604,0.5522507456243038,1.0374549127817154,0.4573118118941784,0.5761892199516296,1.1191853284835815,0.9860742092132568,9.999722712785427,0.9697265625,1
4,0.5157661743760109,0.5528356330692769,1.0370694601535797,0.4632529112696648,0.5751023888587952,1.111972689628601,0.9842382669448853,9.99888977143223,0.9697265625,2
5,0.5151754238903522,0.5510443640053272,1.0358689390420914,0.4840801464021206,0.5612400770187378,1.0773720741271973,0.9910742044448853,9.997501268234133,0.9697265625,3
6,0.5164995329082012,0.5523548441231251,1.0358553091287612,0.4680845099687576,0.5732633471488953,1.1052796840667725,0.9699609279632568,9.995557357506822,0.9697265625,4
7,0.5170939039587975,0.5529551912844181,1.035861288189888,0.4807254607230425,0.5811776518821716,1.1005018949508667,0.971386730670929,9.993058255292954,0.9697265625,5
8,0.517628963559866,0.5529138644039631,1.0352848999500275,0.4776395444571972,0.5826740860939026,1.1052128076553345,0.991992175579071,9.990004239338148,0.9697265625,6
9,0.5191372537016868,0.5547048944830895,1.035567642569542,0.47403662130236623,0.5717020630836487,1.0978460311889648,0.982617199420929,9.986395649060112,0.9697265625,7
10,0.5198673361837864,0.5550837238729001,1.0352163878679275,0.4697473043203354,0.572837769985199,1.1033084392547607,0.9842578172683716,9.982232885510923,0.9697265625,8
11,0.5186421879827976,0.5527894681096077,1.0341472824811935,0.5050639576464891,0.5703314542770386,1.065313696861267,0.9860742092132568,9.977516411332452,0.9697265625,9
12,0.5199551619589329,0.5549064599573612,1.0349512958526612,0.48578739061951637,0.5914222002029419,1.1057692766189575,0.9974804520606995,9.972246750704954,0.9697265625,10
13,0.5207348425090313,0.556235803514719,1.0355009610652923,0.4740979753434658,0.5743067860603333,1.1003315448760986,0.9841406345367432,9.966424489288805,0.9697265625,11
14,0.5216970538496971,0.5565421722531319,1.0348451229929925,0.5117460198700428,0.5928215980529785,1.0811506509780884,0.9959179759025574,9.960050274159416,0.9697265625,12
15,0.5218368249833584,0.557286291718483,1.035449468255043,0.46029332593083383,0.5822298526763916,1.1221106052398682,0.9935937523841858,9.953124813735313,0.9697265625,13
16,0.5210981239378453,0.556923956155777,1.0358258352279663,0.471532025039196,0.5871490836143494,1.1158063411712646,0.9935156106948853,9.945648877699414,0.9697265625,14
17,0.5211415424346924,0.5570282243788243,1.0358866856098174,0.4824601297080517,0.5631778836250305,1.080938458442688,0.9685742259025574,9.937623296913479,0.9697265625,15
18,0.5207012723684311,0.5553892556130886,1.0346879826784134,0.49458458155393603,0.570911169052124,1.0764042139053345,0.9660351276397705,9.929048963325775,0.9660351276397705,0
19,0.5224569436609745,0.5575496907830239,1.03509274828434,0.49009706065058706,0.5774978995323181,1.0875248908996582,0.9915820360183716,9.919926829871942,0.9660351276397705,1
20,0.522038214892149,0.5572032001316547,1.0351649858951568,0.47232975557446477,0.5716196894645691,1.0994819402694702,0.9952343702316284,9.910257910369094,0.9660351276397705,2
21,0.5207593889832497,0.5564631494283676,1.0357037593126297,0.48602678716182707,0.5624604821205139,1.0764821767807007,0.9774804711341858,9.90004327940313,0.9660351276397705,3
22,0.5228540442585945,0.5580990402400494,1.0352449976205826,0.46752576291561126,0.5802052617073059,1.1129529476165771,0.9738476276397705,9.889284072209328,0.9660351276397705,4
23,0.5236277461946011,0.5580029929578304,1.0343752495050431,0.47262704715132714,0.5662897229194641,1.0938259363174438,0.9810937643051147,9.877981484546154,0.9660351276397705,5
24,0.5212295673191547,0.5553942011594772,1.0341646327972411,0.47386732637882234,0.5811554193496704,1.107529878616333,0.9817187786102295,9.866136772562383,0.9660351276397705,6
25,0.5231962274312973,0.557117476016283,1.033921251654625,0.4831500113010406,0.560097336769104,1.077109694480896,0.9522851705551147,9.85375125265749,0.9522851705551147,0
26,0.5223388617038727,0.5572569227218628,1.034918063402176,0.4767715695500374,0.5657511949539185,1.0891141891479492,0.9971484541893005,9.840826301335344,0.9522851705551147,1
27,0.5210031330883503,0.5557538311779499,1.0347506972551346,0.46668562680482867,0.578025221824646,1.1114859580993652,0.9859765768051147,9.827363355051228,0.9522851705551147,2
28,0.5216073569953441,0.5570192738771439,1.0354119182825088,0.48003115743398667,0.5742599964141846,1.094413161277771,0.997265636920929,9.813363910052194,0.9522851705551147,3
29,0.5226508547067642,0.557327793508768,1.0346769429445266,0.46511801294982436,0.5697991847991943,1.1048723459243774,0.9808984398841858,9.798829522210774,0.9522851705551147,4
30,0.5236955997645855,0.5590502941310406,1.0353546968698502,0.5070282177627087,0.5499683022499084,1.0429675579071045,0.9575585722923279,9.783761806852064,0.9522851705551147,5
31,0.5234073868095874,0.5575893463790417,1.0341819585561753,0.4707409316301346,0.5778154730796814,1.1072945594787598,0.9813476800918579,9.768162438574196,0.9522851705551147,6
32,0.5225813864171505,0.557852607280016,1.0352712240219115,0.47079887479543686,0.5905389189720154,1.1199543476104736,0.9798828363418579,9.752033151062225,0.9522851705551147,7
33,0.5225682859122753,0.5572232486903668,1.0346549603939057,0.4682155628502369,0.5744274854660034,1.1063686609268188,0.9614648222923279,9.735375736895458,0.9522851705551147,8
34,0.5233221268057823,0.5582093103229999,1.0348871841430665,0.47994080431759356,0.5838043093681335,1.104088544845581,0.9916210770606995,9.718192047348227,0.9522851705551147,9
35,0.5219919075965881,0.5568628253638744,1.034870915055275,0.47991039134562014,0.5682153105735779,1.0884090662002563,0.9960156083106995,9.700483992184136,0.9522851705551147,10
36,0.521421331256628,0.557590892791748,1.036169561982155,0.4765724853426218,0.5758672952651978,1.099550724029541,0.9725000262260437,9.682253539443819,0.9522851705551147,11
37,0.5226344096660615,0.5580263656675816,1.0353919540643692,0.4601588316261768,0.5729669332504272,1.1130075454711914,0.9713281393051147,9.663502715226214,0.9522851705551147,12
38,0.5241142969727516,0.558699437648058,1.0345851420164107,0.4829557094722986,0.5694397687911987,1.0865542888641357,0.9691601395606995,9.644233603463391,0.9522851705551147,13
39,0.5230090807378293,0.5587717199325561,1.0357626379728317,0.45918855622410776,0.5639662146568298,1.1048930883407593,0.9892382621765137,9.624448345688938,0.9522851705551147,14
40,0.52314241117239,0.559684420734644,1.0365420118570328,0.46444184228777885,0.5734283328056335,1.1092361211776733,0.9906640648841858,9.604149140799962,0.9522851705551147,15
41,0.5218258019089699,0.5576500700116157,1.0358242634534836,0.4722650153934956,0.5815026760101318,1.1094261407852173,0.9961523413658142,9.583338244812705,0.9522851705551147,16
42,0.5208249599635602,0.5568457915782928,1.0360208313465118,0.4908265460282564,0.564474880695343,1.0736737251281738,0.9964258074760437,9.562017970611818,0.9522851705551147,17
43,0.5221002913415432,0.5578709807991982,1.0357706874608994,0.46744193583726884,0.5785362720489502,1.1112205982208252,0.9912499785423279,9.540190687693304,0.9522851705551147,18
44,0.5226033124923706,0.558022359907627,1.035419045329094,0.510709148645401,0.5835456848144531,1.0728440284729004,0.9905859231948853,9.517858821901182,0.9522851705551147,19
45,0.5248338852524758,0.5604870056211948,1.0356531215906144,0.48560476906597616,0.5688166618347168,1.0833324193954468,0.9919335842132568,9.495024855157887,0.9522851705551147,20
46,0.5208798073232174,0.5568239354491233,1.0359441281557082,0.4881597177684307,0.5682251453399658,1.0801235437393188,0.983691394329071,9.471691325188422,0.9522851705551147,21
47,0.5208080142140389,0.5572650986015797,1.03645708155632,0.464935212507844,0.5863926410675049,1.1218336820602417,0.9934375286102295,9.447860825238333,0.9522851705551147,22
48,0.5206544914841652,0.5563277532756329,1.0356732615232467,0.47666774347424506,0.5741434693336487,1.0975351333618164,0.9826562404632568,9.423536003785488,0.9522851705551147,23
49,0.5194860282838345,0.5553096712529659,1.0358236404657364,0.4848762407898903,0.5675516724586487,1.082863211631775,0.9906640648841858,9.398719564245742,0.9522851705551147,24
50,0.5221602290570736,0.5576009669899941,1.0354407342672347,0.4752868677675724,0.5927935242652893,1.1178157329559326,0.9917187690734863,9.373414264672476,0.9522851705551147,25
51,0.5236532726585865,0.5590812603831291,1.035427986741066,0.460644561201334,0.5727868676185608,1.1124004125595093,0.9784960746765137,9.347622917450074,0.9522851705551147,26
