epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_neg_p01,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_checkpoint_selection_score,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
35,0.2091,0.003031,0.7485,0.9755,0.2131,0.524,0.9278,1.406,1.164,0.0002151,0.942,0.7965,8192,0,0.0604,0.7995,31
36,0.208,0.002946,0.7453,0.9741,0.216,0.5277,0.9355,1.405,1.164,0.0002668,0.9349,0.7952,8192,0,0.05927,0.7995,32
37,0.2073,0.003078,0.7489,0.9801,0.2165,0.5308,0.941,1.406,1.169,0.0002389,0.939,0.7945,8192,0,0.05813,0.7995,33
38,0.2058,0.002892,0.7471,0.9699,0.2157,0.5292,0.9439,1.406,1.167,0.0002987,0.9373,0.7945,8192,0,0.05697,0.7995,34
39,0.2041,0.00286,0.7419,0.9732,0.2125,0.5224,0.9323,1.406,1.161,0.0002589,0.9321,0.7964,8192,0,0.05579,0.7995,35
40,0.2028,0.00286,0.7446,0.969,0.2171,0.5298,0.9423,1.406,1.163,0.0003146,0.9359,0.7944,8192,0,0.05459,0.7995,36
41,0.2028,0.002897,0.7448,0.971,0.2164,0.5304,0.9492,1.406,1.168,0.0003027,0.9385,0.7939,8192,0,0.05338,0.7995,37
42,0.2007,0.002844,0.7413,0.9707,0.2165,0.5275,0.9347,1.406,1.161,0.000223,0.9417,0.7953,8192,0,0.05215,0.7995,38
43,0.2003,0.002784,0.7409,0.9693,0.2138,0.5244,0.9369,1.406,1.162,0.0003186,0.9377,0.7957,8192,0,0.05091,0.7995,39
44,0.1998,0.002761,0.7411,0.9664,0.2172,0.5307,0.9366,1.406,1.165,0.0002549,0.9358,0.7947,8192,0,0.04966,0.7995,40
45,0.1992,0.002842,0.7437,0.969,0.2147,0.5308,0.9461,1.408,1.169,0.0002788,0.9359,0.7944,8192,0,0.0484,0.7995,41
46,0.1974,0.002693,0.7401,0.9633,0.2145,0.5283,0.94,1.407,1.166,0.0002947,0.9357,0.795,8192,0,0.04713,0.7995,42
47,0.1966,0.002717,0.7396,0.9647,0.2151,0.526,0.9267,1.406,1.161,0.000227,0.9376,0.7962,8192,0,0.04585,0.7995,43
48,0.1952,0.002634,0.7363,0.9627,0.2154,0.5312,0.9443,1.407,1.169,0.0002987,0.9357,0.7944,8192,0,0.04457,0.7995,44
49,0.1943,0.002659,0.7377,0.9612,0.2156,0.5311,0.9399,1.407,1.168,0.000235,0.9365,0.7947,8192,0,0.04328,0.7995,45
50,0.1945,0.002674,0.7398,0.9598,0.2179,0.5325,0.9518,1.407,1.167,0.0002469,0.9388,0.7935,8192,0,0.04199,0.7995,46
51,0.1927,0.002605,0.736,0.961,0.2134,0.5293,0.9361,1.408,1.169,0.000223,0.9375,0.7955,8192,0,0.0407,0.7995,47
52,0.1934,0.002627,0.7369,0.961,0.2163,0.5317,0.9386,1.407,1.168,0.0002509,0.9332,0.7947,8192,0,0.0394,0.7995,48
53,0.191,0.002544,0.7345,0.9582,0.2191,0.5354,0.9465,1.406,1.17,0.0002469,0.9387,0.7933,8192,0,0.03811,0.7995,49
54,0.19,0.002607,0.7341,0.9597,0.217,0.5327,0.9435,1.407,1.167,0.0002748,0.9397,0.7941,8192,0,0.03682,0.7995,50
55,0.1896,0.002514,0.735,0.9529,0.217,0.5342,0.9404,1.407,1.171,0.0002828,0.9363,0.7942,8192,0,0.03553,0.7995,51
56,0.1881,0.002557,0.7344,0.9559,0.2161,0.5308,0.9397,1.406,1.168,0.0002589,0.9401,0.7946,8192,0,0.03425,0.7995,52
57,0.1869,0.002389,0.7306,0.9518,0.2149,0.5305,0.9376,1.408,1.168,0.000235,0.9393,0.7951,8192,0,0.03297,0.7995,53
58,0.1868,0.00252,0.7326,0.955,0.2173,0.5308,0.9334,1.407,1.164,0.0002389,0.9332,0.795,8192,0,0.0317,0.7995,54
59,0.1865,0.002468,0.7328,0.9538,0.2154,0.5286,0.9368,1.407,1.166,0.0002389,0.938,0.7952,8192,0,0.03044,0.7995,55
60,0.1832,0.002384,0.7296,0.9513,0.2204,0.5346,0.9417,1.405,1.165,0.000223,0.9377,0.7936,8192,0,0.02919,0.7995,56
61,0.1831,0.002419,0.7304,0.9526,0.2155,0.5324,0.9254,1.407,1.171,0.0002031,0.9393,0.7957,8192,0,0.02795,0.7995,57
62,0.1831,0.002357,0.7284,0.9486,0.2184,0.5331,0.9336,1.406,1.166,0.0002509,0.9415,0.7946,8192,0,0.02673,0.7995,58
63,0.1833,0.002363,0.7303,0.9477,0.2184,0.5359,0.9481,1.407,1.171,0.0002469,0.9371,0.7933,8192,0,0.02551,0.7995,59
64,0.1817,0.002347,0.7275,0.9508,0.2159,0.5327,0.935,1.407,1.171,0.000227,0.9404,0.7949,8192,0,0.02432,0.7995,60
