epoch,train_loss,val_loss,val_same_finger_loss,val_pos_p95,val_same_finger_neg_p01,val_same_finger_tail_gap,val_fpr_at_tpr95,val_same_finger_fpr_at_tpr95,val_same_finger_tpr_at_fpr_1e_4,val_same_finger_recall_at_1,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_fpr_at_tpr95,no_improve_epochs
39,0.02235,0.1439,0.1542,0.7613,0.7948,0.03351,0.00297,0.003914,0.8564,0.9969,16384,0,0.05579,0.001322,12
40,0.02143,0.1429,0.1471,0.7552,0.803,0.04785,0.002848,0.004086,0.8882,0.9978,16384,0,0.05459,0.001322,13
41,0.02067,0.141,0.147,0.7521,0.7977,0.0456,0.001811,0.004135,0.857,0.9988,16384,0,0.05338,0.001322,14
42,0.02027,0.1422,0.1516,0.7324,0.7992,0.06686,0.001892,0.002168,0.9039,0.9969,16384,0,0.05215,0.001322,15
43,0.01917,0.1391,0.1487,0.7441,0.7883,0.04421,0.00238,0.004738,0.8524,0.9967,16384,0,0.05091,0.001322,16
44,0.01826,0.142,0.1511,0.7286,0.7412,0.0126,0.002747,0.005287,0.8537,0.9973,16384,0,0.04966,0.001322,17
45,0.01724,0.1371,0.1474,0.7438,0.7421,-0.001686,0.00356,0.01037,0.8524,0.9984,16384,0,0.0484,0.001322,18
46,0.01649,0.1455,0.1508,0.74,0.7608,0.02079,0.00295,0.006141,0.8547,0.9976,16384,0,0.04713,0.001322,19
47,0.01648,0.1358,0.1431,0.75,0.7982,0.0482,0.002767,0.005692,0.877,0.9976,16384,0,0.04585,0.001322,20
48,0.01511,0.142,0.151,0.7517,0.8042,0.05255,0.002421,0.003583,0.8605,0.9974,16384,0,0.04457,0.001322,21
49,0.01454,0.1462,0.1513,0.7725,0.7971,0.02454,0.002441,0.005219,0.8702,0.9966,16384,0,0.04328,0.001322,22
50,0.01399,0.1412,0.1478,0.7314,0.7553,0.02397,0.003866,0.00858,0.8121,0.9976,16384,0,0.04199,0.001322,23
51,0.01249,0.146,0.1543,0.7275,0.7626,0.03511,0.003194,0.006233,0.8528,0.9977,16384,0,0.0407,0.001322,24
52,0.01297,0.1425,0.1473,0.7568,0.8006,0.04386,0.002116,0.004442,0.8381,0.9978,16384,0,0.0394,0.001322,25
53,0.01198,0.1478,0.1549,0.7502,0.7803,0.03011,0.001689,0.004752,0.9009,0.9978,16384,0,0.03811,0.001322,26
54,0.01129,0.1438,0.148,0.7469,0.7663,0.01936,0.002604,0.00593,0.8665,0.998,16384,0,0.03682,0.001322,27
55,0.01085,0.1432,0.1502,0.746,0.7997,0.05376,0.002523,0.004787,0.896,0.9978,16384,0,0.03553,0.001322,28
56,0.01006,0.1484,0.1557,0.7535,0.7841,0.03063,0.00295,0.006678,0.8702,0.9981,16384,0,0.03425,0.001322,29
57,0.009763,0.1507,0.1558,0.7545,0.752,-0.002434,0.003967,0.01067,0.864,0.9966,16384,0,0.03297,0.001322,30
58,0.00925,0.1491,0.1558,0.7593,0.7802,0.02088,0.003642,0.006933,0.8824,0.9956,16384,0,0.0317,0.001322,31
59,0.008787,0.1435,0.1526,0.7443,0.8076,0.06328,0.002258,0.005534,0.8418,0.9962,16384,0,0.03044,0.001322,32
60,0.007913,0.143,0.1476,0.7459,0.7885,0.04259,0.002787,0.00577,0.8671,0.9971,16384,0,0.02919,0.001322,33
61,0.007217,0.148,0.1538,0.7504,0.7635,0.01314,0.003947,0.008802,0.888,0.9964,16384,0,0.02795,0.001322,34
62,0.007284,0.1439,0.146,0.7377,0.7833,0.04557,0.002665,0.005469,0.8386,0.997,16384,0,0.02673,0.001322,35
63,0.006957,0.1402,0.144,0.7413,0.8046,0.06329,0.00179,0.004535,0.8373,0.9987,16384,0,0.02551,0.001322,36
64,0.006226,0.1396,0.1477,0.7441,0.7853,0.04121,0.002218,0.004629,0.824,0.9976,16384,0,0.02432,0.001322,37
65,0.005794,0.142,0.1518,0.7485,0.773,0.02444,0.00236,0.006071,0.8193,0.9975,16384,0,0.02314,0.001322,38
66,0.005252,0.141,0.1482,0.7457,0.7822,0.03649,0.002604,0.005267,0.7791,0.9966,16384,0,0.02197,0.001322,39
67,0.004711,0.1404,0.1442,0.7493,0.7989,0.0496,0.00236,0.004022,0.8997,0.9975,16384,0,0.02083,0.001322,40
68,0.004197,0.1461,0.1512,0.7422,0.7806,0.03841,0.002563,0.005757,0.8585,0.9972,16384,0,0.0197,0.001322,41
69,0.004199,0.1429,0.147,0.7583,0.7994,0.04109,0.003357,0.006563,0.8839,0.9982,16384,0,0.0186,0.001322,42
70,0.003617,0.1398,0.1436,0.7468,0.7852,0.03842,0.003255,0.007412,0.9047,0.9995,16384,0,0.01752,0.001322,43
71,0.003241,0.1439,0.1484,0.748,0.7832,0.03519,0.003215,0.006819,0.8575,0.9976,16384,0,0.01646,0.001322,44
72,0.003089,0.1411,0.1454,0.7575,0.8158,0.05828,0.002055,0.004302,0.8733,0.9965,16384,0,0.01543,0.001322,45
73,0.002783,0.1401,0.1461,0.7555,0.8161,0.06057,0.002482,0.005167,0.862,0.9971,16384,0,0.01443,0.001322,46
