epoch,train_loss,train_loss_metric,train_loss_teacher_similarity,train_loss_positive_consistency,train_loss_quantization,train_loss_balance,train_loss_decorrelation,train_positive_hamming,train_mean_abs_bit_balance,train_mean_abs_continuous,train_pos_dist,train_neg_dist,train_positive_tail_loss,train_lr,train_temperature,val_pos_mean,val_pos_p95,val_pos_p99,val_valid_anchor_count,val_skipped_anchor_count,val_valid_anchor_ratio,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_roc_auc,val_eer,val_neg_mean,val_neg_p01,val_neg_p05,val_active_triplet_ratio,val_loss,val_batch_count,val_configured_finger_count,val_configured_batch_count,val_configured_batch_size,val_planned_positive_count,val_bit_one_fraction,val_bit_balance_error,val_constant_bit_ratio,val_checkpoint_selection_score,early_stop_best_selection_score,no_improve_epochs
16,0.07744,0.05047,0.00393,0.1652,0.08137,0.007275,0.009903,0.1181,0.06812,0.852,0.6731,1.209,0.004689,0.0009783,0.7822,0.1609,0.2832,0.3771,8192,0,1,0.0002907,0.9336,0.9993,0.01162,0.494,0.3672,0.4121,0.0658,0.002832,256,7,256,32,8192,0.4975,0.04574,0,0.8233,0.824,15
17,0.07694,0.05011,0.003981,0.1643,0.08061,0.00732,0.009965,0.1176,0.06831,0.8533,0.6716,1.209,0.004706,0.0009751,0.7703,0.1604,0.2821,0.375,8192,0,1,0.0002867,0.9366,0.9992,0.01163,0.4934,0.3672,0.4102,0.06616,0.002829,256,7,256,32,8192,0.4955,0.04745,0,0.8234,0.824,16
18,0.07552,0.04891,0.004015,0.163,0.07966,0.007286,0.01001,0.1167,0.06812,0.855,0.6688,1.209,0.004601,0.0009717,0.7586,0.1608,0.2812,0.381,8192,0,1,0.0002628,0.9351,0.9993,0.01237,0.4933,0.3672,0.4121,0.0675,0.002832,256,7,256,32,8192,0.4954,0.04804,0,0.8235,0.824,17
19,0.07506,0.04857,0.004063,0.1622,0.07897,0.007385,0.01004,0.1163,0.0686,0.8561,0.6675,1.209,0.004594,0.0009681,0.747,0.1607,0.2832,0.3771,8192,0,1,0.0002549,0.9391,0.9992,0.01212,0.4938,0.3672,0.4121,0.06396,0.002774,256,7,256,32,8192,0.4954,0.04621,0,0.8233,0.824,18
20,0.07449,0.04806,0.004094,0.1617,0.07864,0.007393,0.01003,0.116,0.06867,0.8567,0.6666,1.209,0.004544,0.0009643,0.7357,0.1616,0.2871,0.3789,8192,0,1,0.0002947,0.9335,0.9993,0.01172,0.494,0.3672,0.4121,0.06921,0.002775,256,7,256,32,8192,0.4955,0.0454,0,0.8225,0.824,19
21,0.07299,0.04675,0.004126,0.1604,0.07793,0.007438,0.01008,0.1149,0.06882,0.8579,0.6633,1.209,0.004418,0.0009603,0.7244,0.1611,0.2852,0.3789,8192,0,1,0.0003465,0.927,0.9992,0.01213,0.4934,0.3672,0.4102,0.06714,0.002773,256,7,256,32,8192,0.4957,0.04754,0,0.8228,0.824,20
22,0.07218,0.04602,0.004157,0.1598,0.07745,0.007452,0.01012,0.1146,0.06891,0.8587,0.6622,1.209,0.004373,0.0009561,0.7134,0.1612,0.2852,0.375,8192,0,1,0.0003266,0.9252,0.9993,0.01127,0.4938,0.3652,0.4102,0.06763,0.002788,256,7,256,32,8192,0.4957,0.04603,0,0.8229,0.824,21
23,0.07192,0.04583,0.004184,0.1593,0.07712,0.007393,0.01009,0.1142,0.06862,0.8593,0.661,1.209,0.004347,0.0009516,0.7025,0.1611,0.2832,0.3711,8192,0,1,0.0002589,0.9297,0.9993,0.01116,0.4938,0.3652,0.4102,0.06665,0.002667,256,7,256,32,8192,0.4959,0.04565,0,0.8232,0.824,22
24,0.07103,0.0451,0.004213,0.1583,0.07637,0.007444,0.01014,0.1136,0.06887,0.8606,0.6593,1.209,0.004279,0.000947,0.6918,0.1606,0.2812,0.3789,8192,0,1,0.0002668,0.9268,0.9993,0.01174,0.4937,0.3652,0.4102,0.06812,0.002759,256,7,256,32,8192,0.496,0.04676,0,0.8236,0.824,23
25,0.07077,0.04492,0.004234,0.1578,0.076,0.007375,0.01011,0.1133,0.06856,0.8612,0.6581,1.209,0.004269,0.0009422,0.6813,0.1608,0.2832,0.3693,8192,0,1,0.0003385,0.928,0.9994,0.0107,0.4943,0.3672,0.4102,0.06812,0.002642,256,7,256,32,8192,0.4959,0.04414,0,0.8234,0.824,24
