epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_neg_p01,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_checkpoint_selection_score,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
40,0.277,0.003001,0.7616,0.9535,0.2035,0.4468,0.8567,1.402,1.081,0.0007686,0.9078,0.81,8192,0,0.05459,0.8103,9
41,0.2767,0.003107,0.7649,0.9551,0.1997,0.4447,0.8602,1.404,1.083,0.0007686,0.8922,0.8105,8192,0,0.05338,0.8103,10
42,0.2733,0.00306,0.7617,0.9607,0.1991,0.4406,0.8533,1.403,1.078,0.0007168,0.9108,0.8114,8192,0,0.05215,0.8103,11
43,0.2724,0.00299,0.7591,0.9571,0.1986,0.441,0.8558,1.406,1.08,0.0007447,0.9071,0.8115,8192,0,0.05091,0.8103,12
44,0.2721,0.002973,0.7608,0.9517,0.1974,0.4399,0.8487,1.402,1.079,0.0006252,0.9103,0.8119,8192,0,0.04966,0.8119,0
45,0.2701,0.003047,0.7628,0.9562,0.2013,0.4468,0.8563,1.404,1.084,0.0006691,0.8997,0.8105,8192,0,0.0484,0.8119,1
46,0.2689,0.002898,0.7592,0.9503,0.1993,0.4457,0.8448,1.407,1.083,0.0006531,0.91,0.8119,8192,0,0.04713,0.8119,2
47,0.2672,0.002898,0.7581,0.9516,0.2042,0.446,0.8675,1.401,1.077,0.0007646,0.8998,0.8091,8192,0,0.04585,0.8119,3
48,0.2657,0.002824,0.7556,0.947,0.1997,0.4478,0.8705,1.406,1.087,0.0008164,0.9026,0.8096,8192,0,0.04457,0.8119,4
49,0.2638,0.002782,0.7547,0.9445,0.1955,0.4441,0.8616,1.406,1.09,0.0007129,0.9058,0.8111,8192,0,0.04328,0.8119,5
50,0.264,0.00285,0.7557,0.9498,0.2022,0.4453,0.8628,1.406,1.078,0.0008841,0.8938,0.8101,8192,0,0.04199,0.8119,6
51,0.2612,0.002762,0.753,0.9487,0.1962,0.4379,0.8473,1.406,1.077,0.000693,0.9099,0.8127,8192,0,0.0407,0.8119,7
52,0.2601,0.002726,0.7528,0.9446,0.1983,0.4444,0.8626,1.404,1.084,0.0008642,0.896,0.8104,8192,0,0.0394,0.8119,8
53,0.2594,0.002743,0.7526,0.9476,0.2022,0.4471,0.8473,1.402,1.083,0.0005735,0.9077,0.8108,8192,0,0.03811,0.8119,9
54,0.2579,0.002707,0.751,0.944,0.1969,0.439,0.8393,1.402,1.078,0.0006252,0.9031,0.8128,8192,0,0.03682,0.8119,10
55,0.2574,0.002624,0.7501,0.9392,0.1962,0.4425,0.8624,1.405,1.085,0.0007845,0.9094,0.811,8192,0,0.03553,0.8119,11
56,0.2549,0.002669,0.7496,0.9432,0.196,0.4415,0.8681,1.405,1.085,0.000908,0.8998,0.8106,8192,0,0.03425,0.8119,12
57,0.253,0.002651,0.7488,0.9425,0.1973,0.445,0.8536,1.406,1.087,0.0007726,0.9128,0.8114,8192,0,0.03297,0.8119,13
58,0.2533,0.002717,0.7508,0.9442,0.1996,0.441,0.8514,1.402,1.077,0.0007248,0.8979,0.8114,8192,0,0.0317,0.8119,14
59,0.252,0.002643,0.7487,0.9422,0.1988,0.4476,0.8552,1.406,1.089,0.0007248,0.8994,0.8109,8192,0,0.03044,0.8119,15
60,0.248,0.002492,0.7434,0.9388,0.1945,0.4411,0.8318,1.405,1.085,0.0005177,0.913,0.8137,8192,0,0.02919,0.8137,0
61,0.2479,0.002483,0.7451,0.9356,0.1963,0.4398,0.8512,1.405,1.08,0.0007487,0.9025,0.8121,8192,0,0.02795,0.8137,1
62,0.2479,0.002539,0.7441,0.9397,0.193,0.4402,0.8512,1.408,1.089,0.0007686,0.9031,0.8127,8192,0,0.02673,0.8137,2
63,0.2476,0.002529,0.7458,0.9375,0.1947,0.4415,0.8553,1.404,1.088,0.0007288,0.906,0.8117,8192,0,0.02551,0.8137,3
64,0.2455,0.002484,0.7433,0.9381,0.1931,0.4426,0.8293,1.404,1.09,0.0004301,0.9259,0.8139,8192,0,0.02432,0.8137,4
65,0.244,0.002462,0.7423,0.9373,0.1943,0.4468,0.855,1.406,1.093,0.000693,0.9061,0.8115,8192,0,0.02314,0.8137,5
66,0.2425,0.002474,0.7421,0.9369,0.1951,0.445,0.869,1.406,1.089,0.0008801,0.9089,0.8105,8192,0,0.02197,0.8137,6
67,0.2407,0.002426,0.7409,0.9334,0.1955,0.4461,0.8587,1.406,1.091,0.0008323,0.9077,0.811,8192,0,0.02083,0.8137,7
68,0.2405,0.002396,0.7405,0.9348,0.1923,0.4431,0.8547,1.407,1.091,0.0006053,0.9081,0.8121,8192,0,0.0197,0.8137,8
69,0.2395,0.002258,0.7374,0.9264,0.1943,0.4437,0.858,1.405,1.089,0.0008124,0.9,0.8114,8192,0,0.0186,0.8137,9
70,0.2373,0.002251,0.7346,0.9286,0.1935,0.4447,0.8577,1.405,1.091,0.0007208,0.897,0.8114,8192,0,0.01752,0.8137,10
71,0.236,0.002319,0.7354,0.9291,0.1952,0.443,0.8596,1.405,1.085,0.0008164,0.9048,0.8113,8192,0,0.01646,0.8137,11
72,0.2352,0.002271,0.7365,0.9273,0.1937,0.4462,0.8465,1.406,1.093,0.000681,0.9075,0.8122,8192,0,0.01543,0.8137,12
73,0.2327,0.00218,0.7319,0.926,0.1918,0.4445,0.8459,1.407,1.094,0.0005695,0.9014,0.8128,8192,0,0.01443,0.8137,13
74,0.2328,0.002244,0.7344,0.9269,0.1923,0.4443,0.8471,1.405,1.093,0.0006412,0.9099,0.8125,8192,0,0.01345,0.8137,14
75,0.2314,0.002179,0.7319,0.9268,0.1914,0.4433,0.8563,1.407,1.093,0.0007806,0.8947,0.8121,8192,0,0.0125,0.8137,15
76,0.2294,0.002158,0.7305,0.9269,0.192,0.446,0.8567,1.407,1.095,0.0007925,0.906,0.8117,8192,0,0.01157,0.8137,16
77,0.2285,0.002092,0.7279,0.9245,0.1898,0.4405,0.8469,1.406,1.091,0.0006332,0.9028,0.8131,8192,0,0.01068,0.8137,17
78,0.2275,0.002091,0.7306,0.9214,0.1926,0.4447,0.8588,1.406,1.092,0.0008084,0.8966,0.8116,8192,0,0.00982,0.8137,18
79,0.2262,0.002022,0.7262,0.9203,0.1917,0.4419,0.8522,1.406,1.091,0.0008124,0.905,0.8124,8192,0,0.00899,0.8137,19
80,0.2258,0.002027,0.7266,0.9197,0.1932,0.4458,0.8466,1.406,1.094,0.000685,0.9043,0.8123,8192,0,0.008193,0.8137,20
81,0.2242,0.00202,0.727,0.918,0.1905,0.4429,0.8475,1.407,1.092,0.0007089,0.9049,0.8128,8192,0,0.007429,0.8137,21
82,0.2221,0.001833,0.7177,0.9173,0.191,0.4429,0.8537,1.408,1.092,0.0007407,0.9037,0.8124,8192,0,0.006699,0.8137,22
83,0.224,0.002064,0.7282,0.9215,0.1905,0.4429,0.8428,1.407,1.092,0.0006292,0.9022,0.8133,8192,0,0.006005,0.8137,23
84,0.2206,0.001947,0.7231,0.9184,0.1914,0.4445,0.8561,1.406,1.093,0.0007129,0.9061,0.8119,8192,0,0.005346,0.8137,24
85,0.2199,0.001925,0.7227,0.9176,0.1912,0.4435,0.8489,1.406,1.092,0.0007288,0.9001,0.8126,8192,0,0.004723,0.8137,25
86,0.2196,0.001904,0.7213,0.9143,0.1896,0.4456,0.8526,1.408,1.1,0.0007328,0.9026,0.8124,8192,0,0.004137,0.8137,26
87,0.2187,0.001948,0.7226,0.9189,0.1895,0.4429,0.8472,1.407,1.094,0.0006292,0.9059,0.8131,8192,0,0.00359,0.8137,27
88,0.2185,0.001962,0.7219,0.9209,0.1898,0.4432,0.8457,1.407,1.094,0.0006491,0.9078,0.8131,8192,0,0.00308,0.8137,28
89,0.2166,0.00185,0.7181,0.912,0.1903,0.4441,0.8519,1.407,1.095,0.000685,0.9019,0.8125,8192,0,0.002609,0.8137,29
90,0.216,0.001879,0.7189,0.9163,0.1919,0.4441,0.8472,1.407,1.092,0.0007407,0.9014,0.8126,8192,0,0.002177,0.8137,30
91,0.2158,0.001819,0.7191,0.9123,0.1899,0.443,0.8545,1.407,1.092,0.0007168,0.9039,0.8124,8192,0,0.001786,0.8137,31
92,0.2156,0.001819,0.7177,0.9125,0.1908,0.4449,0.8534,1.407,1.097,0.0007168,0.9011,0.8122,8192,0,0.001434,0.8137,32
93,0.2138,0.001795,0.7165,0.9136,0.1895,0.4441,0.8476,1.407,1.095,0.0006691,0.9095,0.8129,8192,0,0.001123,0.8137,33
94,0.2137,0.001781,0.7141,0.9119,0.1897,0.4452,0.847,1.407,1.097,0.0005575,0.9061,0.8129,8192,0,0.0008522,0.8137,34
95,0.2136,0.001779,0.7153,0.9107,0.1898,0.4447,0.8495,1.407,1.097,0.000673,0.9039,0.8126,8192,0,0.0006229,0.8137,35
96,0.214,0.001812,0.7178,0.9131,0.1894,0.4444,0.8488,1.408,1.097,0.0005974,0.9104,0.8129,8192,0,0.0004349,0.8137,36
97,0.2132,0.001805,0.7164,0.9113,0.1899,0.4455,0.8452,1.408,1.097,0.0006213,0.9138,0.813,8192,0,0.0002886,0.8137,37
98,0.2134,0.00176,0.7151,0.9113,0.1897,0.4451,0.8469,1.407,1.097,0.0006133,0.9075,0.8128,8192,0,0.0001839,0.8137,38
99,0.213,0.001774,0.7157,0.9083,0.1894,0.4428,0.8423,1.407,1.094,0.0007009,0.9047,0.8135,8192,0,0.000121,0.8137,39
100,0.2133,0.001761,0.716,0.9091,0.1895,0.4448,0.846,1.408,1.097,0.0006133,0.9119,0.813,8192,0,0.0001,0.8137,40
