epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_same_finger_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_same_finger_pos_mean,val_same_finger_neg_mean,val_cross_finger_pos_mean,val_cross_finger_neg_mean,val_same_finger_neg_p01,val_same_finger_tail_gap,val_fpr_at_tpr95,val_same_finger_fpr_at_tpr95,val_cross_finger_fpr_at_tpr95,val_same_finger_tpr_at_fpr_1e_4,val_cross_finger_tpr_at_fpr_1e_4,val_same_finger_recall_at_1,val_cross_finger_recall_at_1,val_checkpoint_selection_score,val_checkpoint_selection_false_acceptance,val_checkpoint_selection_low_fpr_recall,val_checkpoint_selection_hard_negative_recall,val_checkpoint_selection_mean_gap,val_checkpoint_selection_tail_gap,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
18,0.05998,4.882e-06,0.5261,0.7322,0.1405,0.152,0.4357,0.7742,1.122,0.4357,1.099,0.4357,1.131,0.8191,0.04488,0.001851,0.004764,0.0007559,0.8792,0.8506,0.9964,0.9973,0.8157,0.9992,0.8792,0.9973,0.3476,0.05847,16384,0,0.07538,0.8225,8
19,0.05672,4.521e-06,0.5185,0.7195,0.1421,0.1539,0.4396,0.7772,1.124,0.4396,1.1,0.4396,1.133,0.8047,0.0275,0.002686,0.006537,0.0013,0.926,0.9083,0.9965,0.9973,0.8242,0.9987,0.926,0.9973,0.3467,0.05274,16384,0,0.07476,0.8242,0
20,0.05434,4.356e-06,0.5128,0.7069,0.1414,0.1483,0.4403,0.7762,1.126,0.4403,1.105,0.4403,1.134,0.8033,0.02707,0.002075,0.002834,0.00178,0.9132,0.8186,0.9962,0.9968,0.8213,0.9982,0.9132,0.9968,0.347,0.05218,16384,0,0.0741,0.8242,1
21,0.05161,3.137e-06,0.5046,0.6943,0.1404,0.1529,0.4411,0.7892,1.13,0.4411,1.105,0.4411,1.139,0.8014,0.01215,0.003418,0.008874,0.001395,0.8984,0.8953,0.996,0.9972,0.8188,0.9986,0.8984,0.9972,0.3491,0.05218,16384,0,0.0734,0.8242,2
22,0.04983,3.895e-06,0.4989,0.69,0.1394,0.154,0.44,0.779,1.131,0.44,1.106,0.44,1.14,0.8106,0.03165,0.00234,0.005923,0.001028,0.8875,0.7963,0.9972,0.9968,0.817,0.999,0.8875,0.9972,0.3499,0.05364,16384,0,0.07267,0.8242,3
23,0.04714,7.701e-07,0.4918,0.6756,0.1386,0.1477,0.4389,0.7687,1.129,0.4389,1.107,0.4389,1.137,0.8046,0.03589,0.001953,0.003472,0.001425,0.9046,0.7877,0.9974,0.9975,0.8199,0.9986,0.9046,0.9975,0.3492,0.05061,16384,0,0.07191,0.8242,4
24,0.04562,2.567e-06,0.4882,0.6699,0.139,0.1553,0.432,0.7564,1.122,0.432,1.097,0.432,1.132,0.7928,0.03633,0.001872,0.003409,0.001307,0.8914,0.8568,0.9954,0.997,0.8176,0.9987,0.8914,0.997,0.3499,0.05393,16384,0,0.07111,0.8242,5
25,0.04326,1.835e-06,0.4788,0.6521,0.1357,0.1468,0.4308,0.7622,1.124,0.4308,1.099,0.4308,1.133,0.7983,0.03602,0.002665,0.006107,0.001457,0.8753,0.8254,0.9947,0.9972,0.8147,0.9985,0.8753,0.9972,0.3511,0.05647,16384,0,0.07028,0.8242,6
26,0.04194,7.5e-07,0.4744,0.6527,0.1414,0.1487,0.4344,0.762,1.12,0.4344,1.098,0.4344,1.128,0.7988,0.03674,0.002828,0.00555,0.001815,0.9042,0.8868,0.9961,0.9968,0.8196,0.9982,0.9042,0.9968,0.347,0.05304,16384,0,0.06942,0.8242,7
27,0.04049,1.293e-06,0.4741,0.6434,0.1421,0.1546,0.4345,0.7573,1.12,0.4345,1.098,0.4345,1.128,0.801,0.04367,0.002177,0.00597,0.0006556,0.8899,0.8918,0.9964,0.9972,0.818,0.9993,0.8918,0.9972,0.3468,0.0571,16384,0,0.06853,0.8242,8
28,0.03913,1.479e-07,0.4682,0.6328,0.144,0.1565,0.4439,0.7823,1.127,0.4439,1.102,0.4439,1.136,0.8221,0.0398,0.002706,0.005786,0.001603,0.8855,0.6839,0.997,0.9961,0.8146,0.9984,0.8855,0.997,0.3461,0.04112,16384,0,0.06761,0.8242,9
29,0.03722,1.044e-06,0.4618,0.624,0.1405,0.1508,0.4371,0.7667,1.126,0.4371,1.102,0.4371,1.135,0.7967,0.03003,0.004211,0.009235,0.002173,0.8268,0.6456,0.9969,0.9976,0.8037,0.9978,0.8268,0.9976,0.3491,0.04797,16384,0,0.06665,0.8242,10
