epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_same_finger_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_same_finger_pos_mean,val_same_finger_neg_mean,val_cross_finger_pos_mean,val_cross_finger_neg_mean,val_same_finger_neg_p01,val_same_finger_tail_gap,val_fpr_at_tpr95,val_same_finger_fpr_at_tpr95,val_cross_finger_fpr_at_tpr95,val_same_finger_tpr_at_fpr_1e_4,val_cross_finger_tpr_at_fpr_1e_4,val_same_finger_recall_at_1,val_cross_finger_recall_at_1,val_checkpoint_selection_score,val_checkpoint_selection_false_acceptance,val_checkpoint_selection_low_fpr_recall,val_checkpoint_selection_hard_negative_recall,val_checkpoint_selection_mean_gap,val_checkpoint_selection_tail_gap,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
77,0.002285,0,0.316,0.3545,0.1487,0.1589,0.4593,0.7674,1.136,0.4593,1.111,0.4593,1.146,0.8033,0.03598,0.00179,0.00319,0.001244,0.8677,0.9133,0.9972,0.9964,0.8214,0.9988,0.9133,0.9972,0.3433,0.05348,16384,0,0.01068,0.8242,58
78,0.002109,0,0.3143,0.3512,0.1501,0.1613,0.4571,0.7646,1.133,0.4571,1.106,0.4571,1.143,0.7991,0.03446,0.00297,0.006893,0.001442,0.8655,0.9026,0.9964,0.9972,0.8188,0.9986,0.9026,0.9972,0.343,0.05053,16384,0,0.00982,0.8242,59
79,0.001945,0,0.312,0.347,0.1447,0.155,0.4544,0.7649,1.137,0.4544,1.111,0.4544,1.147,0.7884,0.02348,0.001648,0.004171,0.0006998,0.8736,0.9066,0.9971,0.9973,0.8204,0.9993,0.9066,0.9973,0.3462,0.05198,16384,0,0.00899,0.8242,60
80,0.001741,0,0.3103,0.3445,0.148,0.1599,0.4569,0.7605,1.135,0.4569,1.109,0.4569,1.145,0.7939,0.03344,0.00293,0.006326,0.00161,0.8739,0.882,0.9977,0.9974,0.8155,0.9984,0.882,0.9977,0.344,0.05808,16384,0,0.008193,0.8242,61
81,0.001623,0,0.308,0.3408,0.149,0.16,0.4571,0.7664,1.134,0.4571,1.108,0.4571,1.144,0.7969,0.03053,0.002686,0.006507,0.001166,0.8775,0.8423,0.9949,0.9973,0.8142,0.9988,0.8775,0.9973,0.3436,0.05315,16384,0,0.007429,0.8242,62
82,0.001419,0,0.3062,0.3372,0.1486,0.1583,0.4558,0.7627,1.134,0.4558,1.11,0.4558,1.143,0.8027,0.03996,0.002584,0.005066,0.001594,0.8634,0.8571,0.9972,0.998,0.8117,0.9984,0.8634,0.998,0.3438,0.05663,16384,0,0.006699,0.8242,63
83,0.001311,0,0.3054,0.3359,0.1483,0.1588,0.4612,0.7732,1.14,0.4612,1.116,0.4612,1.148,0.8226,0.04939,0.001933,0.003278,0.001427,0.8893,0.8899,0.996,0.9971,0.817,0.9986,0.8899,0.9971,0.3436,0.0577,16384,0,0.006005,0.8242,64
84,0.001273,0,0.3031,0.3329,0.1517,0.161,0.466,0.7782,1.14,0.466,1.115,0.466,1.149,0.82,0.04185,0.001648,0.003933,0.0007848,0.8857,0.9075,0.9969,0.9974,0.8203,0.9992,0.9075,0.9974,0.3415,0.05436,16384,0,0.005346,0.8242,65
85,0.001174,0,0.3025,0.3316,0.1487,0.1586,0.4607,0.7658,1.138,0.4607,1.114,0.4607,1.147,0.7983,0.03251,0.002543,0.005524,0.001363,0.9188,0.8714,0.9967,0.9981,0.8227,0.9986,0.9188,0.9981,0.3432,0.05478,16384,0,0.004723,0.8242,66
86,0.001101,0,0.3012,0.3297,0.1508,0.1611,0.4611,0.7651,1.136,0.4611,1.111,0.4611,1.146,0.8198,0.05467,0.002014,0.002919,0.001652,0.9022,0.8571,0.9966,0.9981,0.8196,0.9983,0.9022,0.9981,0.3423,0.06007,16384,0,0.004137,0.8242,67
87,0.0009467,0,0.2999,0.3276,0.1492,0.159,0.4628,0.7737,1.139,0.4628,1.115,0.4628,1.149,0.8097,0.03596,0.002991,0.005977,0.001815,0.8924,0.8708,0.9969,0.9976,0.8169,0.9982,0.8924,0.9976,0.3432,0.05244,16384,0,0.00359,0.8242,68
88,0.0009327,0,0.2987,0.326,0.1494,0.1601,0.4667,0.7765,1.143,0.4667,1.119,0.4667,1.153,0.8227,0.04624,0.002299,0.005483,0.001071,0.911,0.887,0.9965,0.9968,0.8214,0.9989,0.911,0.9968,0.3429,0.05816,16384,0,0.00308,0.8242,69
89,0.0009004,0,0.2982,0.3254,0.1517,0.1597,0.4654,0.7693,1.139,0.4654,1.115,0.4654,1.148,0.828,0.05872,0.002421,0.005026,0.00137,0.898,0.8915,0.9972,0.9971,0.8186,0.9986,0.898,0.9972,0.3414,0.05871,16384,0,0.002609,0.8242,70
90,0.0008942,0,0.297,0.324,0.1521,0.1617,0.467,0.7798,1.14,0.467,1.115,0.467,1.149,0.8311,0.05125,0.002808,0.005607,0.001722,0.8754,0.8891,0.997,0.9976,0.8166,0.9983,0.8891,0.9976,0.3411,0.0585,16384,0,0.002177,0.8242,71
91,0.0007557,0,0.2963,0.322,0.1508,0.1607,0.4654,0.7764,1.14,0.4654,1.116,0.4654,1.15,0.8248,0.04837,0.002482,0.005275,0.001345,0.8943,0.8737,0.9965,0.9975,0.8173,0.9987,0.8943,0.9975,0.3423,0.0522,16384,0,0.001786,0.8242,72
92,0.0007759,0,0.2955,0.3216,0.1515,0.1635,0.4667,0.7809,1.14,0.4667,1.116,0.4667,1.15,0.8215,0.04064,0.002726,0.005673,0.001561,0.8839,0.8761,0.9961,0.9975,0.815,0.9984,0.8839,0.9975,0.3417,0.05124,16384,0,0.001434,0.8242,73
93,0.0007306,0,0.2954,0.3212,0.1506,0.1619,0.4664,0.78,1.141,0.4664,1.118,0.4664,1.151,0.8304,0.05042,0.002869,0.005413,0.00187,0.9005,0.8822,0.9966,0.998,0.8187,0.9981,0.9005,0.998,0.3422,0.05542,16384,0,0.001123,0.8242,74
94,0.0007554,0,0.2946,0.3204,0.15,0.1615,0.4683,0.7815,1.144,0.4683,1.12,0.4683,1.153,0.823,0.04151,0.002645,0.005803,0.001435,0.9059,0.8906,0.9965,0.9974,0.8201,0.9986,0.9059,0.9974,0.3425,0.05657,16384,0,0.0008522,0.8242,75
95,0.0007505,0,0.2943,0.3192,0.1524,0.1638,0.4674,0.7797,1.14,0.4674,1.116,0.4674,1.149,0.8228,0.04304,0.002584,0.005734,0.001357,0.9082,0.8964,0.9966,0.9975,0.8202,0.9986,0.9082,0.9975,0.3408,0.05492,16384,0,0.0006229,0.8242,76
96,0.0006642,0,0.2941,0.3194,0.1516,0.1626,0.4677,0.7777,1.141,0.4677,1.118,0.4677,1.15,0.8204,0.04268,0.002502,0.005395,0.001362,0.9073,0.9048,0.9961,0.997,0.8203,0.9986,0.9073,0.997,0.3414,0.05776,16384,0,0.0004349,0.8242,77
97,0.0007208,0,0.2939,0.319,0.1517,0.1623,0.4675,0.7817,1.141,0.4675,1.117,0.4675,1.15,0.824,0.04225,0.002584,0.005648,0.001365,0.9106,0.8991,0.9965,0.9975,0.8209,0.9986,0.9106,0.9975,0.3414,0.05595,16384,0,0.0002886,0.8242,78
98,0.0007173,0,0.2938,0.3189,0.1514,0.162,0.4686,0.7835,1.142,0.4686,1.119,0.4686,1.152,0.8227,0.03923,0.002665,0.005399,0.001588,0.9059,0.8992,0.9961,0.9971,0.8197,0.9984,0.9059,0.9971,0.3416,0.05538,16384,0,0.0001839,0.8242,79
99,0.0006636,0,0.2939,0.3187,0.1513,0.1621,0.4685,0.7816,1.143,0.4685,1.118,0.4685,1.152,0.8266,0.04495,0.002665,0.005389,0.001589,0.9087,0.8975,0.9966,0.9972,0.8203,0.9984,0.9087,0.9972,0.3418,0.05544,16384,0,0.000121,0.8242,80
100,0.0006784,0,0.2934,0.3183,0.1514,0.1616,0.4686,0.7825,1.142,0.4686,1.119,0.4686,1.151,0.8269,0.04443,0.002502,0.005346,0.001367,0.9121,0.9028,0.9965,0.9971,0.821,0.9986,0.9121,0.9971,0.3414,0.05489,16384,0,0.0001,0.8242,81
