epoch,train_loss,train_pos_dist,train_neg_dist,val_pos_mean,val_pos_p95,val_pos_p99,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_roc_auc,val_eer,val_neg_mean,val_neg_p01,val_neg_p05,val_recall_at_1,val_active_triplet_ratio,val_loss,val_same_finger_fpr_at_tpr95,val_same_finger_tpr_at_fpr_1e_4,val_same_finger_roc_auc,val_same_finger_eer,val_same_finger_neg_mean,val_same_finger_neg_p01,val_same_finger_neg_p05,val_same_finger_recall_at_1,val_same_finger_active_triplet_ratio,val_same_finger_loss,val_cross_finger_fpr_at_tpr95,val_cross_finger_tpr_at_fpr_1e_4,val_cross_finger_roc_auc,val_cross_finger_eer,val_cross_finger_neg_mean,val_cross_finger_neg_p01,val_cross_finger_neg_p05,val_cross_finger_recall_at_1,val_cross_finger_active_triplet_ratio,val_cross_finger_loss,lr,early_stop_best_fpr_at_tpr95,no_improve_epochs
1,0.6120006066262722,0.882390144944191,1.07039490377903,0.6398098468780518,1.2642810344696045,1.4579302072525024,0.103179931640625,0.7080078125,0.9778297726297751,0.06036376953125,1.4067381620407104,1.1014208793640137,1.2102216482162476,0.90728759765625,0.92803955078125,0.29976657032966614,0.1465778350830078,0.60516357421875,0.9739625742076896,0.06671142578125,1.3867148160934448,1.0643267631530762,1.178115963935852,0.90936279296875,0.912109375,0.2861843407154083,0.05978202819824219,0.86456298828125,0.9816969710518606,0.052490234375,1.4267616271972656,1.1643190383911133,1.253660798072815,0.93634033203125,0.80670166015625,0.2198309749364853,0.05,0.103179931640625,0
2,0.4098692793548107,0.6742273394465447,1.0644852092266084,0.5984117388725281,1.235100507736206,1.4480440616607666,0.07183551788330078,0.75323486328125,0.9800957279512659,0.054443359375,1.4013779163360596,1.1043140888214111,1.209845781326294,0.92059326171875,0.89349365234375,0.26169678568840027,0.10441780090332031,0.598876953125,0.9769720070180483,0.0592041015625,1.3835456371307373,1.0669325590133667,1.1788557767868042,0.9227294921875,0.8720703125,0.24889928102493286,0.03925323486328125,0.88818359375,0.9832194488844834,0.0478515625,1.4192101955413818,1.1644916534423828,1.2485833168029785,0.943359375,0.74932861328125,0.19171851873397827,0.1,0.07183551788330078,0
3,0.36310727122426034,0.6351921780109405,1.072556717991829,0.581296443939209,1.2135765552520752,1.4368051290512085,0.04961109161376953,0.75665283203125,0.9826732337824069,0.04988670349121094,1.4035463333129883,1.1084115505218506,1.2141789197921753,0.92486572265625,0.86553955078125,0.2440154105424881,0.07703971862792969,0.61566162109375,0.979446045064833,0.055023193359375,1.3826130628585815,1.0719902515411377,1.182440996170044,0.9271240234375,0.84307861328125,0.23284612596035004,0.022182464599609375,0.894775390625,0.9859004224999808,0.04205322265625,1.424479603767395,1.1723487377166748,1.258381724357605,0.95086669921875,0.70947265625,0.17189639806747437,0.09999722987302516,0.04961109161376953,0
4,0.33697956848144534,0.6155806008577347,1.0794557512998582,0.5815619826316833,1.2034518718719482,1.415569543838501,0.03676033020019531,0.77984619140625,0.9850479357119184,0.04632568359375,1.4044876098632812,1.1236742734909058,1.2233741283416748,0.9300537109375,0.85772705078125,0.2344793826341629,0.055423736572265625,0.62127685546875,0.9828126766369678,0.0513916015625,1.3905911445617676,1.0895183086395264,1.1962343454360962,0.9327392578125,0.832763671875,0.22213007509708405,0.018096923828125,0.9029541015625,0.987283194786869,0.04022216796875,1.418384075164795,1.175362229347229,1.2559665441513062,0.95196533203125,0.7186279296875,0.17358672618865967,0.09998890870569505,0.03676033020019531,0
5,0.32042891505360604,0.6041499500870705,1.084947944045067,0.5756765604019165,1.1824883222579956,1.3772622346878052,0.025307655334472656,0.77130126953125,0.9886084956815466,0.04248046875,1.4036226272583008,1.1245354413986206,1.2250910997390747,0.93450927734375,0.847412109375,0.22803707420825958,0.04009437561035156,0.6370849609375,0.986431380326394,0.0477294921875,1.3893227577209473,1.0893651247024536,1.197397232055664,0.93695068359375,0.824462890625,0.21641825139522552,0.01052093505859375,0.90618896484375,0.9907856110366993,0.03668212890625,1.4179227352142334,1.1801445484161377,1.2588623762130737,0.95751953125,0.698974609375,0.16722656786441803,0.0999750374200332,0.025307655334472656,0
6,0.30573584443330765,0.5935752153992653,1.0895591056346894,0.5609644055366516,1.151288628578186,1.335071086883545,0.01565265655517578,0.7623291015625,0.9925191627116874,0.03558349609375,1.4019323587417603,1.123275637626648,1.2246959209442139,0.939453125,0.8292236328125,0.21786002814769745,0.024951934814453125,0.60943603515625,0.9908866476616822,0.04012489318847656,1.3893495798110962,1.0886181592941284,1.1993414163589478,0.94354248046875,0.80401611328125,0.20514161884784698,0.0063533782958984375,0.90557861328125,0.9941516777616926,0.03009033203125,1.4145150184631348,1.1726257801055908,1.2549337148666382,0.96490478515625,0.68011474609375,0.16136249899864197,0.09995561755766873,0.01565265655517578,0
7,0.2940860477685928,0.5838588414788246,1.0917787419557572,0.556800127029419,1.1224838495254517,1.3092633485794067,0.009431838989257812,0.765869140625,0.9942972276185174,0.03082275390625,1.4032926559448242,1.126065969467163,1.227723240852356,0.947021484375,0.82440185546875,0.21146158874034882,0.015729904174804688,0.607177734375,0.9929789882153273,0.03532981872558594,1.3921966552734375,1.0906168222427368,1.2032181024551392,0.950439453125,0.79803466796875,0.19886553287506104,0.0031337738037109375,0.9100341796875,0.9956154670217074,0.02492523193359375,1.4143885374069214,1.1753883361816406,1.2567005157470703,0.9716796875,0.67449951171875,0.15609058737754822,0.0999306512768894,0.009431838989257812,0
8,0.2837984063923359,0.5740497905611992,1.092602143764496,0.5484286546707153,1.1083396673202515,1.293700098991394,0.008266448974609375,0.752197265625,0.9950790049042553,0.027482032775878906,1.4016244411468506,1.120917558670044,1.2246593236923218,0.95098876953125,0.8245849609375,0.20810450613498688,0.014316558837890625,0.5966796875,0.9936554839950986,0.03173828125,1.3868111371994019,1.0822229385375977,1.1968363523483276,0.95404052734375,0.79998779296875,0.1968679428100586,0.002216339111328125,0.9140625,0.9965025258134119,0.02166748046875,1.4164378643035889,1.1778358221054077,1.258966088294983,0.97686767578125,0.65252685546875,0.14940251410007477,0.09990014135240163,0.008266448974609375,0
9,0.2765167506933212,0.5672204815149308,1.0932750108242035,0.5372478365898132,1.0708684921264648,1.2627229690551758,0.005390167236328125,0.74481201171875,0.9964562745590229,0.02457463191105769,1.401901125907898,1.1142258644104004,1.2229303121566772,0.955810546875,0.81768798828125,0.20275700092315674,0.009258270263671875,0.57989501953125,0.9954988916870207,0.028076171875,1.3923391103744507,1.0767325162887573,1.1971063613891602,0.95880126953125,0.78680419921875,0.1897856593132019,0.001522064208984375,0.9130859375,0.9974136574310251,0.019788742065429688,1.4114631414413452,1.166278600692749,1.2523611783981323,0.980224609375,0.65399169921875,0.14671672880649567,0.09986409117502228,0.005390167236328125,0
10,0.26889405819773676,0.5598169352710247,1.0937777371406556,0.5431574583053589,1.0825079679489136,1.2704983949661255,0.006173133850097656,0.7344970703125,0.9960461175069213,0.02508544921875,1.3999621868133545,1.1148113012313843,1.2212504148483276,0.955078125,0.82177734375,0.20765714347362518,0.01103973388671875,0.57598876953125,0.9947406668798067,0.02978515625,1.385274052619934,1.075291395187378,1.1900959014892578,0.9573974609375,0.79595947265625,0.19783465564250946,0.0013065338134765625,0.9173583984375,0.9973515681340359,0.01861572265625,1.4146504402160645,1.1792153120040894,1.2606650590896606,0.9808349609375,0.64697265625,0.1433187574148178,0.09982250475130164,0.005390167236328125,1
11,0.26364599825441837,0.5538287329673767,1.0932512562274932,0.5327950119972229,1.043281078338623,1.2272536754608154,0.0041942596435546875,0.71807861328125,0.997545312391594,0.020738601684570312,1.3983502388000488,1.105741262435913,1.216020941734314,0.96270751953125,0.82171630859375,0.20448189973831177,0.0073757171630859375,0.598388671875,0.9966898108832538,0.0242767333984375,1.3857784271240234,1.067278504371643,1.1885112524032593,0.96514892578125,0.79327392578125,0.19185702502727509,0.0010128021240234375,0.91534423828125,0.9984008138999343,0.01605224609375,1.4109221696853638,1.1609692573547363,1.2477073669433594,0.98486328125,0.65411376953125,0.14631998538970947,0.09977538670307824,0.0041942596435546875,0
12,0.25867342749238015,0.5495897887647152,1.0940899355411529,0.5320079326629639,1.033495306968689,1.23018479347229,0.0035333633422851562,0.72320556640625,0.9973306478641462,0.02032470703125,1.3964811563491821,1.1070518493652344,1.2159532308578491,0.9630126953125,0.82391357421875,0.20291055738925934,0.00661468505859375,0.57196044921875,0.996301926090382,0.024784088134765625,1.3799309730529785,1.0648859739303589,1.1838473081588745,0.964599609375,0.7989501953125,0.19339130818843842,0.0004520416259765625,0.92681884765625,0.9983593696379103,0.01422119140625,1.4130311012268066,1.174450159072876,1.2575887441635132,0.98822021484375,0.63226318359375,0.13650622963905334,0.09972274226696516,0.0035333633422851562,0
13,0.25279596316814423,0.5440080780684948,1.0946908571720124,0.5270508527755737,1.0198792219161987,1.2020227909088135,0.0030546188354492188,0.7196044921875,0.9980473613541108,0.01824951171875,1.3994362354278564,1.105374813079834,1.2153804302215576,0.9678955078125,0.82037353515625,0.1998436450958252,0.0055027008056640625,0.6090087890625,0.9974033834296279,0.021249771118164062,1.3900151252746582,1.0682653188705444,1.190866231918335,0.9705810546875,0.7864990234375,0.1859498769044876,0.000606536865234375,0.92156982421875,0.9986913392785937,0.01409912109375,1.4088573455810547,1.1553304195404053,1.2425243854522705,0.98699951171875,0.65985107421875,0.14432545006275177,0.09966457729376811,0.0030546188354492188,0
14,0.24945346921682357,0.5408968958556652,1.0950535860061645,0.5309714674949646,1.028057336807251,1.2142207622528076,0.0028829574584960938,0.71893310546875,0.997751863382291,0.01763916015625,1.4024899005889893,1.1187959909439087,1.2263182401657104,0.97003173828125,0.80584716796875,0.1944701224565506,0.0053119659423828125,0.5894775390625,0.9970481329946779,0.02093505859375,1.3923532962799072,1.0790578126907349,1.2003511190414429,0.9720458984375,0.77740478515625,0.18255840241909027,0.000453948974609375,0.92669677734375,0.9984555937699042,0.013185501098632812,1.4126266241073608,1.1727708578109741,1.2558952569961548,0.98779296875,0.6363525390625,0.13901686668395996,0.09960089824783505,0.0028829574584960938,0
15,0.24604083520174028,0.5381700945794582,1.0958291153907775,0.5285015106201172,1.016937255859375,1.2060028314590454,0.0029973983764648438,0.7203369140625,0.9977151165949181,0.01812744140625,1.3975331783294678,1.1072931289672852,1.2175922393798828,0.970458984375,0.81884765625,0.19832932949066162,0.0054950714111328125,0.58837890625,0.9969975428539328,0.021732330322265625,1.3872392177581787,1.0672816038131714,1.1913526058197021,0.9725341796875,0.79052734375,0.1850806474685669,0.000499725341796875,0.92413330078125,0.9984326903359033,0.01361083984375,1.4078266620635986,1.1616660356521606,1.2467329502105713,0.98797607421875,0.648193359375,0.14267976582050323,0.09953171220633784,0.0028829574584960938,1
16,0.24272526682913304,0.5351624521315098,1.0963292577266692,0.5110951662063599,0.9767628908157349,1.156872272491455,0.0020189285278320312,0.73516845703125,0.9985144317033701,0.014558792114257812,1.3960833549499512,1.0983879566192627,1.2131279706954956,0.97528076171875,0.808349609375,0.1899789422750473,0.00382232666015625,0.59039306640625,0.9979095134185627,0.01849365234375,1.382631778717041,1.0557796955108643,1.1816520690917969,0.97637939453125,0.77783203125,0.17909716069698334,0.0002155303955078125,0.9385986328125,0.9991193499881774,0.009765625,1.4095351696014404,1.1626590490341187,1.2508877515792847,0.9932861328125,0.62725830078125,0.1252398043870926,0.09945702685848573,0.0020189285278320312,0
