epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_neg_p01,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_checkpoint_selection_score,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
40,0.3123,0.002869,0.787,0.8974,0.1991,0.4729,0.8298,1.392,1.121,7.567e-05,0.9524,0.809,8192,0,0.05459,0.8111,10
41,0.31,0.002809,0.7847,0.8964,0.1948,0.4705,0.832,1.396,1.122,0.0001951,0.9388,0.8099,8192,0,0.05338,0.8111,11
42,0.3073,0.00275,0.7832,0.8939,0.1975,0.4731,0.8271,1.393,1.122,0.0001394,0.944,0.8095,8192,0,0.05215,0.8111,12
43,0.3057,0.00267,0.7812,0.8899,0.2003,0.471,0.8198,1.393,1.115,0.0001513,0.9321,0.81,8192,0,0.05091,0.8111,13
44,0.3039,0.002686,0.7817,0.8903,0.1998,0.4714,0.8317,1.392,1.117,0.000227,0.9355,0.8089,8192,0,0.04966,0.8111,14
45,0.3021,0.002688,0.7811,0.8928,0.2022,0.4774,0.8317,1.391,1.119,0.0001951,0.9276,0.808,8192,0,0.0484,0.8111,15
46,0.2993,0.002597,0.7783,0.8898,0.2016,0.4764,0.8347,1.396,1.12,0.0001832,0.9371,0.8085,8192,0,0.04713,0.8111,16
47,0.2988,0.002631,0.779,0.8909,0.2002,0.4804,0.8439,1.397,1.127,0.000231,0.9196,0.8076,8192,0,0.04585,0.8111,17
48,0.2956,0.002489,0.7747,0.8847,0.2003,0.4737,0.8319,1.392,1.119,0.0001155,0.9373,0.8086,8192,0,0.04457,0.8111,18
49,0.2936,0.002456,0.7739,0.8834,0.2012,0.4802,0.846,1.394,1.125,0.0001633,0.9294,0.8071,8192,0,0.04328,0.8111,19
50,0.2918,0.002474,0.7738,0.8855,0.2008,0.4761,0.8307,1.395,1.121,0.0002748,0.9161,0.8087,8192,0,0.04199,0.8111,20
51,0.2901,0.002463,0.7735,0.8838,0.2044,0.4769,0.8263,1.389,1.118,0.0001633,0.9338,0.808,8192,0,0.0407,0.8111,21
52,0.2894,0.002453,0.7728,0.8871,0.1998,0.4733,0.8265,1.393,1.119,0.000219,0.931,0.8093,8192,0,0.0394,0.8111,22
53,0.2863,0.002332,0.7695,0.8804,0.1997,0.4755,0.8334,1.393,1.122,0.0001712,0.9347,0.8085,8192,0,0.03811,0.8111,23
54,0.2851,0.002307,0.7683,0.8798,0.2001,0.4759,0.8343,1.393,1.121,0.000219,0.9332,0.8084,8192,0,0.03682,0.8111,24
55,0.2826,0.002238,0.7666,0.8763,0.2017,0.4792,0.8432,1.396,1.124,0.0002509,0.9139,0.8074,8192,0,0.03553,0.8111,25
56,0.2809,0.002245,0.766,0.8775,0.199,0.4767,0.8354,1.396,1.125,0.0002469,0.9229,0.8086,8192,0,0.03425,0.8111,26
57,0.2787,0.002174,0.7642,0.8738,0.1976,0.4778,0.8294,1.396,1.127,0.0001394,0.9384,0.8091,8192,0,0.03297,0.8111,27
58,0.2778,0.002194,0.7641,0.8769,0.2019,0.4734,0.8368,1.394,1.116,0.000219,0.9309,0.8083,8192,0,0.0317,0.8111,28
59,0.276,0.00215,0.7629,0.8738,0.2032,0.477,0.8446,1.391,1.121,0.0003027,0.9165,0.8069,8192,0,0.03044,0.8111,29
60,0.2716,0.002012,0.7582,0.8678,0.2033,0.4811,0.843,1.394,1.126,0.0001673,0.9347,0.807,8192,0,0.02919,0.8111,30
61,0.2714,0.00202,0.7589,0.8672,0.2007,0.482,0.8418,1.397,1.13,0.0001912,0.9298,0.8075,8192,0,0.02795,0.8111,31
62,0.2702,0.002074,0.7591,0.8721,0.2002,0.4769,0.8345,1.397,1.121,0.0002111,0.9364,0.8086,8192,0,0.02673,0.8111,32
63,0.2696,0.002054,0.7591,0.8702,0.2047,0.4859,0.8414,1.396,1.127,0.0001872,0.9277,0.8066,8192,0,0.02551,0.8111,33
