epoch,train_loss,train_loss_metric,train_loss_teacher_similarity,train_loss_positive_consistency,train_loss_quantization,train_loss_balance,train_loss_decorrelation,train_positive_hamming,train_mean_abs_bit_balance,train_mean_abs_continuous,train_pos_dist,train_neg_dist,train_positive_tail_loss,train_lr,train_temperature,val_pos_mean,val_pos_p95,val_pos_p99,val_valid_anchor_count,val_skipped_anchor_count,val_valid_anchor_ratio,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_roc_auc,val_eer,val_neg_mean,val_neg_p01,val_neg_p05,val_active_triplet_ratio,val_loss,val_batch_count,val_configured_finger_count,val_configured_batch_count,val_configured_batch_size,val_planned_positive_count,val_bit_one_fraction,val_bit_balance_error,val_constant_bit_ratio,val_checkpoint_selection_score,early_stop_best_selection_score,no_improve_epochs
1,0.08182,0.03109,0.002165,0.271,0.2231,0.007262,0.004715,0.1042,0.06741,0.6379,0.6297,1.23,0.003174,0.0005,0.9848,0.1459,0.2578,0.3281,8192,0,1,0.0001752,0.9312,0.9998,0.005476,0.4942,0.3652,0.4121,0.05676,0.001395,256,7,256,32,8192,0.4985,0.04657,0,0.8305,0.8305,0
2,0.05147,0.02462,0.00297,0.1564,0.09322,0.01063,0.009512,0.09601,0.08233,0.8332,0.6031,1.223,0.002394,0.001,0.9698,0.1449,0.2578,0.3242,8192,0,1,0.0001872,0.9324,0.9998,0.005069,0.4942,0.3652,0.4121,0.05383,0.00131,256,7,256,32,8192,0.4985,0.047,0,0.8308,0.8305,1
3,0.04375,0.02117,0.003028,0.1342,0.07243,0.009984,0.01029,0.0919,0.07981,0.8696,0.5891,1.225,0.00211,0.0009999,0.955,0.1451,0.2539,0.3205,8192,0,1,0.0001513,0.9387,0.9999,0.004623,0.4942,0.3633,0.4121,0.05359,0.001255,256,7,256,32,8192,0.4992,0.04798,0,0.8313,0.8305,2
4,0.03924,0.01873,0.003078,0.1231,0.06248,0.009737,0.01062,0.08849,0.07877,0.8871,0.5769,1.226,0.001865,0.0009996,0.9405,0.1456,0.2578,0.3262,8192,0,1,0.0001434,0.9415,0.9998,0.005143,0.4946,0.3652,0.4121,0.05249,0.001293,256,7,256,32,8192,0.4987,0.04497,0,0.8307,0.8305,3
5,0.03634,0.01712,0.003169,0.1161,0.05618,0.009663,0.01082,0.08618,0.07856,0.8982,0.5687,1.227,0.00174,0.000999,0.9261,0.1454,0.2539,0.3203,8192,0,1,0.0001513,0.9362,0.9999,0.005363,0.4937,0.3652,0.4121,0.05078,0.001236,256,7,256,32,8192,0.5004,0.04889,0,0.8312,0.8305,4
6,0.03404,0.01576,0.003237,0.1108,0.05172,0.009554,0.011,0.08406,0.07808,0.9062,0.5609,1.227,0.001615,0.0009982,0.912,0.1457,0.2567,0.3262,8192,0,1,0.0002071,0.9304,0.9999,0.005129,0.4941,0.3652,0.4121,0.05359,0.001273,256,7,256,32,8192,0.5013,0.04763,0,0.8307,0.8305,5
7,0.03164,0.01416,0.003288,0.1063,0.04795,0.009435,0.01111,0.08204,0.07754,0.9129,0.5535,1.228,0.001459,0.0009972,0.8981,0.1454,0.2539,0.3242,8192,0,1,0.0001434,0.9374,0.9999,0.005095,0.4936,0.3652,0.4121,0.05127,0.001137,256,7,256,32,8192,0.5003,0.04886,0,0.8312,0.8305,6
8,0.03054,0.01361,0.003335,0.1033,0.04532,0.00927,0.01111,0.08082,0.07687,0.9177,0.5487,1.228,0.001394,0.000996,0.8844,0.1463,0.2548,0.3242,8192,0,1,0.0001513,0.9353,0.9999,0.005249,0.4939,0.3652,0.4121,0.05444,0.001257,256,7,256,32,8192,0.4997,0.04806,0,0.8309,0.8305,7
9,0.0297,0.01323,0.003373,0.1006,0.04312,0.009279,0.01119,0.07962,0.07691,0.9216,0.5437,1.229,0.001362,0.0009945,0.871,0.1467,0.2559,0.3281,8192,0,1,0.0001274,0.9491,0.9999,0.005548,0.4942,0.3652,0.4141,0.05127,0.001284,256,7,256,32,8192,0.4987,0.04687,0,0.8307,0.8305,8
10,0.02836,0.01231,0.003424,0.09811,0.04117,0.009279,0.01126,0.07833,0.07694,0.9251,0.5392,1.228,0.001262,0.0009929,0.8577,0.1467,0.2567,0.3223,8192,0,1,0.0001752,0.936,0.9999,0.005129,0.4937,0.3652,0.4141,0.05432,0.001272,256,7,256,32,8192,0.5005,0.04803,0,0.8305,0.8305,9
